YEAR,STATE,EVTYPE,COUNT,FATALITIES
1978,arkansas,HAIL,45,0
1978,arkansas,TORNADO,57,2
1978,arkansas,THUNDERSTORM / THUNDERSTORM WIND,23,0
1979,arkansas,HAIL,25,0
1979,arkansas,THUNDERSTORM / THUNDERSTORM WIND,67,0
1979,arkansas,TORNADO,47,1
1980,arkansas,HAIL,56,0
1980,arkansas,THUNDERSTORM / THUNDERSTORM WIND,30,0
1980,arkansas,TORNADO,26,1
1981,arkansas,HAIL,50,0
1981,arkansas,THUNDERSTORM / THUNDERSTORM WIND,39,0
1981,arkansas,TORNADO,12,0
1982,arkansas,THUNDERSTORM / THUNDERSTORM WIND,199,0
1982,arkansas,HAIL,94,0
1982,arkansas,TORNADO,102,19
1983,arkansas,THUNDERSTORM / THUNDERSTORM WIND,223,0
1983,arkansas,HAIL,66,0
1983,arkansas,TORNADO,17,0
1984,arkansas,HAIL,189,0
1984,arkansas,THUNDERSTORM / THUNDERSTORM WIND,164,2
1984,arkansas,TORNADO,31,7
1985,arkansas,THUNDERSTORM / THUNDERSTORM WIND,150,0
1985,arkansas,HAIL,121,0
1985,arkansas,TORNADO,12,3
1986,arkansas,HAIL,109,0
1986,arkansas,TORNADO,3,0
1986,arkansas,THUNDERSTORM / THUNDERSTORM WIND,169,3
1987,arkansas,HAIL,36,0
1987,arkansas,THUNDERSTORM / THUNDERSTORM WIND,124,1
1987,arkansas,TORNADO,2,6
1988,arkansas,HAIL,107,0
1988,arkansas,TORNADO,21,6
1988,arkansas,THUNDERSTORM / THUNDERSTORM WIND,182,2
1989,arkansas,THUNDERSTORM / THUNDERSTORM WIND,256,0
1989,arkansas,HAIL,160,0
1989,arkansas,TORNADO,19,0
1990,arkansas,THUNDERSTORM / THUNDERSTORM WIND,192,1
1990,arkansas,HAIL,107,0
1990,arkansas,TORNADO,21,2
1991,arkansas,HAIL,139,0
1991,arkansas,THUNDERSTORM / THUNDERSTORM WIND,227,0
1991,arkansas,TORNADO,15,0
1992,arkansas,THUNDERSTORM / THUNDERSTORM WIND,306,0
1992,arkansas,TORNADO,6,0
1951,california,TORNADO,1,0
1952,california,TORNADO,1,0
1953,california,TORNADO,2,0
1954,california,TORNADO,1,0
1955,california,TORNADO,3,0
1955,california,THUNDERSTORM / THUNDERSTORM WIND,4,0
1956,california,TORNADO,2,0
1957,california,THUNDERSTORM / THUNDERSTORM WIND,8,0
1957,california,HAIL,2,0
1957,california,TORNADO,1,0
1958,california,TORNADO,10,0
1958,california,HAIL,12,0
1958,california,THUNDERSTORM / THUNDERSTORM WIND,13,0
1959,california,HAIL,2,0
1959,california,THUNDERSTORM / THUNDERSTORM WIND,2,0
1959,california,TORNADO,1,0
1960,california,TORNADO,1,0
1960,california,THUNDERSTORM / THUNDERSTORM WIND,3,0
1960,california,HAIL,1,0
1961,california,HAIL,1,0
1961,california,TORNADO,1,0
1962,california,TORNADO,4,0
1962,california,THUNDERSTORM / THUNDERSTORM WIND,1,0
1964,california,TORNADO,4,0
1964,california,HAIL,2,0
1964,california,THUNDERSTORM / THUNDERSTORM WIND,1,0
1965,california,TORNADO,5,0
1965,california,HAIL,1,0
1966,california,THUNDERSTORM / THUNDERSTORM WIND,2,0
1966,california,HAIL,1,0
1966,california,TORNADO,5,0
1967,california,HAIL,2,0
1967,california,TORNADO,5,0
1969,california,THUNDERSTORM / THUNDERSTORM WIND,2,0
1969,california,TORNADO,1,0
1970,california,TORNADO,2,0
1970,california,THUNDERSTORM / THUNDERSTORM WIND,5,0
1971,california,TORNADO,2,0
1971,california,HAIL,1,0
1972,california,THUNDERSTORM / THUNDERSTORM WIND,4,0
1972,california,TORNADO,4,0
1972,california,HAIL,2,0
1973,california,THUNDERSTORM / THUNDERSTORM WIND,7,0
1973,california,TORNADO,1,0
1974,california,THUNDERSTORM / THUNDERSTORM WIND,3,0
1974,california,TORNADO,3,0
1975,california,THUNDERSTORM / THUNDERSTORM WIND,4,0
1975,california,TORNADO,3,0
1975,california,HAIL,1,0
1976,california,TORNADO,6,0
1976,california,THUNDERSTORM / THUNDERSTORM WIND,3,0
1977,california,TORNADO,3,0
1977,california,THUNDERSTORM / THUNDERSTORM WIND,3,0
1978,california,TORNADO,14,0
1978,california,THUNDERSTORM / THUNDERSTORM WIND,6,0
1979,california,TORNADO,4,0
1979,california,HAIL,5,0
1979,california,THUNDERSTORM / THUNDERSTORM WIND,1,0
1980,california,THUNDERSTORM / THUNDERSTORM WIND,13,0
1980,california,TORNADO,9,0
1980,california,HAIL,6,0
1981,california,TORNADO,3,0
1981,california,THUNDERSTORM / THUNDERSTORM WIND,8,0
1981,california,HAIL,2,0
1982,california,THUNDERSTORM / THUNDERSTORM WIND,11,0
1982,california,TORNADO,14,0
1982,california,HAIL,7,0
1983,california,THUNDERSTORM / THUNDERSTORM WIND,23,0
1983,california,HAIL,5,0
1983,california,TORNADO,10,0
1984,california,TORNADO,2,0
1984,california,THUNDERSTORM / THUNDERSTORM WIND,9,0
1984,california,HAIL,1,0
1985,california,TORNADO,3,0
1985,california,THUNDERSTORM / THUNDERSTORM WIND,4,0
1985,california,HAIL,1,0
1986,california,THUNDERSTORM / THUNDERSTORM WIND,6,0
1986,california,TORNADO,8,0
1986,california,HAIL,9,0
1987,california,TORNADO,4,0
1987,california,THUNDERSTORM / THUNDERSTORM WIND,5,0
1987,california,HAIL,4,0
1988,california,TORNADO,6,0
1988,california,THUNDERSTORM / THUNDERSTORM WIND,10,0
1989,california,TORNADO,4,0
1989,california,HAIL,3,0
1989,california,THUNDERSTORM / THUNDERSTORM WIND,6,0
1990,california,TORNADO,5,0
1990,california,THUNDERSTORM / THUNDERSTORM WIND,12,0
1990,california,HAIL,6,0
1991,california,TORNADO,16,0
1991,california,HAIL,6,0
1991,california,THUNDERSTORM / THUNDERSTORM WIND,4,0
1992,california,TORNADO,20,0
1992,california,THUNDERSTORM / THUNDERSTORM WIND,5,0
1950,colorado,TORNADO,3,0
1951,colorado,TORNADO,8,0
1952,colorado,TORNADO,3,0
1953,colorado,TORNADO,14,0
1954,colorado,TORNADO,9,0
1955,colorado,TORNADO,19,0
1955,colorado,THUNDERSTORM / THUNDERSTORM WIND,3,0
1955,colorado,HAIL,14,0
1956,colorado,THUNDERSTORM / THUNDERSTORM WIND,12,0
1956,colorado,TORNADO,10,0
1956,colorado,HAIL,11,0
1957,colorado,THUNDERSTORM / THUNDERSTORM WIND,5,0
1957,colorado,TORNADO,26,0
1957,colorado,HAIL,8,0
1958,colorado,HAIL,54,0
1958,colorado,TORNADO,18,0
1958,colorado,THUNDERSTORM / THUNDERSTORM WIND,15,0
1959,colorado,HAIL,9,0
1959,colorado,THUNDERSTORM / THUNDERSTORM WIND,6,0
1959,colorado,TORNADO,1,0
1960,colorado,HAIL,14,0
1960,colorado,TORNADO,14,2
1960,colorado,THUNDERSTORM / THUNDERSTORM WIND,9,0
1961,colorado,TORNADO,13,0
1961,colorado,HAIL,20,0
1961,colorado,THUNDERSTORM / THUNDERSTORM WIND,3,0
1962,colorado,THUNDERSTORM / THUNDERSTORM WIND,14,0
1962,colorado,TORNADO,25,0
1962,colorado,HAIL,34,0
1963,colorado,HAIL,12,0
1963,colorado,THUNDERSTORM / THUNDERSTORM WIND,10,0
1963,colorado,TORNADO,3,0
1964,colorado,HAIL,7,0
1964,colorado,THUNDERSTORM / THUNDERSTORM WIND,3,0
1964,colorado,TORNADO,2,0
1965,colorado,TORNADO,32,0
1965,colorado,THUNDERSTORM / THUNDERSTORM WIND,14,0
1965,colorado,HAIL,32,0
1966,colorado,TORNADO,11,0
1966,colorado,THUNDERSTORM / THUNDERSTORM WIND,16,0
1966,colorado,HAIL,13,0
1967,colorado,THUNDERSTORM / THUNDERSTORM WIND,9,0
1967,colorado,TORNADO,21,0
1967,colorado,HAIL,30,0
1968,colorado,THUNDERSTORM / THUNDERSTORM WIND,10,0
1968,colorado,TORNADO,6,0
1968,colorado,HAIL,18,0
1969,colorado,HAIL,17,0
1969,colorado,TORNADO,10,0
1969,colorado,THUNDERSTORM / THUNDERSTORM WIND,12,0
1970,colorado,THUNDERSTORM / THUNDERSTORM WIND,10,0
1970,colorado,HAIL,9,0
1970,colorado,TORNADO,5,0
1971,colorado,THUNDERSTORM / THUNDERSTORM WIND,13,0
1971,colorado,TORNADO,16,0
1971,colorado,HAIL,34,0
1972,colorado,HAIL,28,0
1972,colorado,TORNADO,11,0
1972,colorado,THUNDERSTORM / THUNDERSTORM WIND,14,0
1973,colorado,THUNDERSTORM / THUNDERSTORM WIND,23,0
1973,colorado,HAIL,55,0
1973,colorado,TORNADO,11,0
1974,colorado,TORNADO,12,0
1974,colorado,THUNDERSTORM / THUNDERSTORM WIND,27,0
1974,colorado,HAIL,21,0
1975,colorado,HAIL,39,0
1975,colorado,TORNADO,20,0
1975,colorado,THUNDERSTORM / THUNDERSTORM WIND,20,0
1976,colorado,THUNDERSTORM / THUNDERSTORM WIND,12,0
1976,colorado,TORNADO,42,0
1976,colorado,HAIL,18,0
1977,colorado,TORNADO,32,0
1977,colorado,THUNDERSTORM / THUNDERSTORM WIND,24,0
1977,colorado,HAIL,40,0
1978,colorado,THUNDERSTORM / THUNDERSTORM WIND,19,0
1978,colorado,HAIL,21,0
1978,colorado,TORNADO,18,0
1979,colorado,TORNADO,37,0
1979,colorado,HAIL,53,0
1979,colorado,THUNDERSTORM / THUNDERSTORM WIND,26,0
1980,colorado,TORNADO,26,0
1980,colorado,THUNDERSTORM / THUNDERSTORM WIND,23,0
1980,colorado,HAIL,33,0
1981,colorado,THUNDERSTORM / THUNDERSTORM WIND,40,0
1981,colorado,HAIL,66,0
1981,colorado,TORNADO,26,0
1982,colorado,HAIL,142,0
1982,colorado,TORNADO,58,0
1982,colorado,THUNDERSTORM / THUNDERSTORM WIND,35,0
1983,colorado,HAIL,160,0
1983,colorado,TORNADO,32,0
1983,colorado,THUNDERSTORM / THUNDERSTORM WIND,49,0
1984,colorado,HAIL,69,0
1984,colorado,TORNADO,41,0
1984,colorado,THUNDERSTORM / THUNDERSTORM WIND,30,0
1985,colorado,TORNADO,26,0
1985,colorado,THUNDERSTORM / THUNDERSTORM WIND,31,0
1985,colorado,HAIL,83,0
1986,colorado,THUNDERSTORM / THUNDERSTORM WIND,22,0
1986,colorado,HAIL,84,0
1986,colorado,TORNADO,21,0
1987,colorado,THUNDERSTORM / THUNDERSTORM WIND,17,1
1987,colorado,TORNADO,40,0
1987,colorado,HAIL,129,0
1988,colorado,THUNDERSTORM / THUNDERSTORM WIND,34,0
1988,colorado,HAIL,48,0
1988,colorado,TORNADO,48,0
1989,colorado,THUNDERSTORM / THUNDERSTORM WIND,36,0
1989,colorado,HAIL,89,0
1989,colorado,TORNADO,22,0
1990,colorado,THUNDERSTORM / THUNDERSTORM WIND,37,0
1990,colorado,TORNADO,57,0
1990,colorado,HAIL,85,0
1991,colorado,HAIL,202,0
1991,colorado,THUNDERSTORM / THUNDERSTORM WIND,40,0
1991,colorado,TORNADO,76,0
1992,colorado,TORNADO,82,0
1992,colorado,THUNDERSTORM / THUNDERSTORM WIND,34,0
1950,connecticut,TORNADO,2,0
1951,connecticut,TORNADO,3,0
1954,connecticut,TORNADO,2,0
1955,connecticut,HAIL,1,0
1955,connecticut,TORNADO,2,0
1956,connecticut,THUNDERSTORM / THUNDERSTORM WIND,3,0
1956,connecticut,TORNADO,1,0
1956,connecticut,HAIL,1,0
1957,connecticut,THUNDERSTORM / THUNDERSTORM WIND,3,0
1957,connecticut,HAIL,2,0
1957,connecticut,TORNADO,1,0
1958,connecticut,THUNDERSTORM / THUNDERSTORM WIND,2,0
1958,connecticut,TORNADO,3,0
1959,connecticut,TORNADO,3,0
1959,connecticut,HAIL,1,0
1960,connecticut,HAIL,4,0
1960,connecticut,THUNDERSTORM / THUNDERSTORM WIND,2,0
1961,connecticut,TORNADO,1,0
1961,connecticut,THUNDERSTORM / THUNDERSTORM WIND,2,0
1961,connecticut,HAIL,4,0
1962,connecticut,HAIL,6,0
1962,connecticut,TORNADO,3,1
1962,connecticut,THUNDERSTORM / THUNDERSTORM WIND,3,0
1963,connecticut,THUNDERSTORM / THUNDERSTORM WIND,3,0
1963,connecticut,HAIL,4,0
1963,connecticut,TORNADO,1,0
1964,connecticut,THUNDERSTORM / THUNDERSTORM WIND,2,0
1964,connecticut,HAIL,2,0
1965,connecticut,THUNDERSTORM / THUNDERSTORM WIND,2,0
1965,connecticut,HAIL,2,0
1965,connecticut,TORNADO,1,0
1966,connecticut,HAIL,2,0
1966,connecticut,THUNDERSTORM / THUNDERSTORM WIND,4,0
1966,connecticut,TORNADO,1,0
1968,connecticut,THUNDERSTORM / THUNDERSTORM WIND,5,0
1968,connecticut,TORNADO,3,0
1969,connecticut,HAIL,3,0
1969,connecticut,THUNDERSTORM / THUNDERSTORM WIND,4,0
1970,connecticut,THUNDERSTORM / THUNDERSTORM WIND,4,0
1970,connecticut,TORNADO,1,0
1971,connecticut,THUNDERSTORM / THUNDERSTORM WIND,8,0
1971,connecticut,TORNADO,2,0
1971,connecticut,HAIL,1,0
1972,connecticut,HAIL,1,0
1972,connecticut,TORNADO,3,0
1973,connecticut,HAIL,5,0
1973,connecticut,TORNADO,8,0
1973,connecticut,THUNDERSTORM / THUNDERSTORM WIND,5,0
1974,connecticut,THUNDERSTORM / THUNDERSTORM WIND,5,0
1974,connecticut,HAIL,6,0
1974,connecticut,TORNADO,2,0
1975,connecticut,TORNADO,2,0
1975,connecticut,HAIL,2,0
1975,connecticut,THUNDERSTORM / THUNDERSTORM WIND,1,0
1976,connecticut,THUNDERSTORM / THUNDERSTORM WIND,8,0
1976,connecticut,HAIL,1,0
1976,connecticut,TORNADO,1,0
1977,connecticut,THUNDERSTORM / THUNDERSTORM WIND,4,0
1978,connecticut,THUNDERSTORM / THUNDERSTORM WIND,1,0
1979,connecticut,HAIL,2,0
1979,connecticut,THUNDERSTORM / THUNDERSTORM WIND,6,0
1979,connecticut,TORNADO,1,3
1980,connecticut,THUNDERSTORM / THUNDERSTORM WIND,4,0
1981,connecticut,THUNDERSTORM / THUNDERSTORM WIND,2,0
1982,connecticut,THUNDERSTORM / THUNDERSTORM WIND,9,0
